"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-337.92,0.46999,1.8949,1.5193,55.053,65.739,11.045
-38.584,0.041946,0.043533,0.0038399,78.023,37.113,37.561
-294.93,0.00030977,0.00033375,0.00016623,108.86,47.256,4.1221
-295.29,-0.00045499,0.00080777,0.00035192,93.445,40.146,17.517
-282.0,-0.0000012419,0.00012423,0.0000022867,93.701,18.94,12.222
-226.55,0.00102,0.0024425,0.0019964,43.343,35.007,30.632
75.958,0.63599,0.35229,-0.0014429,88.989,64.703,38.856
-732.39,0.15766,-0.13084,-0.000048862,13.788,13.262,4.2469
-303.34,0.000081024,0.00034521,0.0001298,100.13,68.117,2.4612
-326.08,0.000083005,0.000021567,0.00013047,73.219,12.253,9.6783
-325.21,0.0024896,-0.0054844,0.0044145,80.682,43.453,1.9784
-172.88,1.3122,-0.5161,0.063713,58.691,55.779,27.327
-325.95,0.00012134,0.00017545,0.000037284,72.814,17.83,18.745
-121.88,1.8861,-1.6606,0.084474,73.583,58.65,29.933
-55.088,2.7685,-2.3433,-0.026613,78.255,56.374,39.119
-781.39,0.0087988,0.0014632,-0.00017548,19.201,65.683,14.954
-309.84,-0.0005139,0.0058321,0.011082,86.589,50.392,12.354
82.051,0.31506,0.087624,-0.0013927,88.979,72.17,36.781
-227.42,-0.0024646,0.00076573,0.0034252,29.868,70.355,30.754
-325.54,-0.0000028128,0.0000094062,0.00020805,80.644,18.771,7.5986
109.69,0.85902,-0.50785,-0.0025604,98.549,55.292,31.535
-176.25,1.2067,-0.33283,-0.57601,61.494,64.852,22.87
-228.21,0.0084074,-0.0054982,0.0012576,23.833,54.557,38.869
-300.16,-0.0012038,0.0018321,0.0013231,94.792,46.939,15.848
103.82,0.67771,-0.16857,0.0031793,99.018,62.407,25.661
100.13,0.78779,-0.28075,0.0073447,97.334,59.092,29.543
-24.873,4.7796,-1.4852,-0.089789,81.308,50.582,33.082
-225.52,0.99403,-0.30286,0.82703,54.842,71.377,30.235
111.08,0.44008,-0.26835,-0.030732,104.6,62.004,38.966
-653.83,2.6321,0.98271,-0.0047882,31.834,41.254,8.029
-782.24,0.063715,-0.013497,-0.0021207,17.521,55.573,3.1479
78.649,1.3697,-0.32114,0.068309,92.3,55.598,33.604
-326.97,0.000070507,-0.000028811,0.000075869,56.066,25.725,17.15
-470.13,0.77588,3.737,1.5682,39.221,56.827,6.4337
-226.69,0.0018887,0.00083324,0.0014747,39.107,34.786,31.517
-303.16,0.0010473,0.00092601,0.00091626,98.057,58.625,4.1445
239.41,0.77307,-0.64786,0.29208,88.203,24.488,37.656
-228.87,1.3055,-0.82864,-0.32254,48.278,63.693,26.129
-282.58,0.0000035385,0.00003072,0.000075994,107.9,21.791,5.9041
-282.8,-0.0000091589,0.00015984,0.000011601,100.26,21.654,13.714
-695.86,0.3394,0.22186,0.017867,37.726,17.116,11.247
-305.19,-0.0019246,0.000084246,0.0022518,94.884,58.317,13.285
-718.41,0.98371,-0.21318,0.037877,24.043,26.785,6.8957
-695.5,0.31255,0.24985,0.011807,38.041,17.682,15.311
218.77,0.44476,-0.69098,0.49373,92.234,25.705,28.199
-259.19,1.2736,1.5156,2.0908,63.597,68.672,18.683
-227.71,0.00012262,-0.000066964,0.000058911,35.977,15.44,25.663
-315.08,0.42404,0.30698,0.68628,46.049,73.348,12.046
-686.75,0.53752,0.59375,-0.0095536,37.225,25.432,2.7788
-330.96,0.33031,0.13168,0.08661,70.666,53.451,3.7787
-230.29,0.000078478,-0.0000039012,-0.0000093754,19.14,11.316,21.381
-323.44,0.082087,0.07831,0.0097627,74.856,48.96,19.04
-144.6,0.84786,-0.59288,0.083128,71.999,70.194,38.763
-39.686,0.065684,0.017024,0.0025815,75.734,38.135,32.276
-717.69,0.64261,-0.090485,0.016346,25.184,20.204,15.73
-283.04,0.000098616,0.000043179,-0.00001287,102.51,22.825,4.4217
-300.12,-0.00007707,0.000070623,0.000033464,115.15,72.919,6.3819
-44.832,0.001961,-0.00019181,0.00009674,58.023,11.332,22.993
-364.17,1.0986,0.99071,0.17461,56.19,54.441,15.88
-325.59,0.0014507,0.00027028,0.0011363,62.048,42.116,16.247
-325.16,0.001658,-0.00021558,0.005286,76.381,37.626,8.8621
-356.76,0.93781,0.21755,0.20663,60.06,50.908,9.9651
-614.83,1.3179,2.4221,0.04807,39.913,40.455,2.5009
-263.33,0.42609,-0.055673,1.0292,43.265,72.399,29.085
-282.92,0.000085129,0.000034966,0.0000151,99.039,22.931,1.1604
-282.58,-0.000034514,0.000063052,0.000035489,84.948,22.799,10.922
-657.85,1.5493,1.151,0.0028,34.292,36.924,5.9791
-218.39,1.29,0.078744,1.618,64.418,74.41,19.815
-780.78,0.00087443,0.0021371,-0.000022442,11.111,72.668,15.262
-572.46,4.3795,7.9119,0.044957,37.734,47.277,7.3776
-191.79,0.99337,-0.51187,0.21747,58.087,63.927,35.309
64.599,1.7443,-0.29018,0.061484,89.3,54.52,27.67
-634.92,2.5053,1.8538,0.028623,34.656,41.493,15.531
-305.14,-0.000010611,0.000036013,0.00069824,91.557,74.167,6.2812
-391.21,1.3173,2.0037,-0.17766,46.784,60.359,5.2102
249.91,0.43847,-0.20957,0.36645,88.183,18.088,33.548
-783.38,0.020867,0.11768,-0.0015265,11.112,52.805,7.3968
-689.13,0.38249,0.42233,0.018447,38.414,21.781,15.856
-283.54,-0.000022326,0.000046514,-0.000019122,86.652,23.601,7.779
-229.55,0.000095675,-0.000051113,0.000025465,22.476,12.804,28.656
-325.77,0.000053986,-0.00018868,0.00016698,72.216,22.719,4.0184
79.891,1.4448,-0.15705,0.038313,91.328,56.411,24.636
-303.45,-0.00025437,0.00017487,0.00038321,100.97,69.221,9.5549
-269.68,0.62943,-0.12826,1.3384,47.136,72.34,26.219
-43.323,0.0049269,0.0022384,-0.0000099285,72.932,21.95,35.057
-238.08,0.73167,-0.21036,0.43658,48.447,70.694,34.771
-285.57,-0.000027538,0.00022824,0.00013672,106.19,28.978,10.41
-283.69,-0.00011172,0.00036435,-0.00010896,91.533,23.071,11.855
-187.74,1.0454,-0.099258,-0.0093027,52.169,48.915,21.212
-353.25,0.69435,0.11576,0.21068,62.848,50.921,6.9947
-839.04,4.1218,-1.2473,0.046638,13.825,39.272,15.052
100.57,0.43909,-0.0078363,0.0013258,100.56,74.069,28.011
-309.58,0.0075119,0.01478,0.0053915,84.215,58.862,2.4254
-307.69,0.0086618,0.0068858,0.0027111,88.07,57.388,2.3047
-306.73,0.0077762,0.0011197,0.0058517,89.229,52.625,5.5425
-79.391,2.4533,-1.2462,0.054111,73.659,54.636,24.814
-281.16,-0.000015261,0.000029521,-0.000010954,115.95,15.696,11.164
-307.52,0.80232,1.1183,0.94537,53.298,70.225,13.9
-325.82,0.00019116,-0.000019965,0.00049298,73.153,24.465,8.2251
-276.87,0.86197,-0.20254,2.0692,43.424,66.109,25.414
78.966,1.2293,0.0758,0.025802,91.663,58.317,29.032
-336.87,0.42831,0.2192,0.16702,65.703,60.209,2.5606
-287.58,0.000038212,0.00012954,0.0000050295,100.43,31.875,11.087
-295.99,0.00086604,-0.00001091,0.000039013,102.93,46.238,1.0531
281.37,1.2482,0.096512,0.68205,91.717,20.365,36.98
-713.22,2.1241,0.17499,0.016161,25.223,38.011,11.48
-284.6,0.00019733,0.00011001,0.00008876,86.52,27.461,17.156
